pref,name,touroku,year,addr,hp,lat,lon
長野県,信州新町,第1回,H5.4,長野市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000271.html,36.585417,138.052742
長野県,長野市大岡特産センター,第1回,H5.4,長野市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000272.html,36.526393,137.958136
長野県,信越さかえ,第1回,H5.4,下水内郡栄村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000273.html,36.988484,138.58168
長野県,小坂田公園,第8回,H7.4,塩尻市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000274.html,36.106347,137.988191
長野県,池田,第8回,H7.4,北安曇郡池田町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000275.html,36.397074,137.884637
長野県,中条,第8回,H7.4,長野市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000276.html,36.6038,138.01617
長野県,みまき,第8回,H7.4,東御市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000277.html,36.334784,138.359566
長野県,白馬,第10回,H8.4,北安曇郡白馬村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000278.html,36.65359,137.847327
長野県,ふるさと豊田,第13回,H9.10,中野市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000279.html,36.800516,138.322324
長野県,マルメロの駅ながと,第13回,H9.10,小県郡長和町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000280.html,36.272941,138.257588
長野県,ほっとぱ～く・浅科,第14回,H10.4,佐久市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000281.html,,
長野県,アルプス安曇野　ほりがねの里,第14回,H10.4,安曇野市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000282.html,36.293496,137.87772
長野県,安曇野松川,第14回,H10.4,北安曇郡松川村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000283.html,36.396278,137.867643
長野県,風穴の里,第14回,H10.4,松本市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000284.html,36.153326,137.752097
長野県,北信州やまのうち,第14回,H10.4,下高井郡山ノ内町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000285.html,36.741351,138.404622
長野県,上田　道と川の駅,第14回,H10.4,上田市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000286.html,36.407122,138.205586
長野県,信州蔦木宿,第14回,H10.4,諏訪郡富士見町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000287.html,35.863269,138.276911
長野県,しなの,第15回,H11.8,上水内郡信濃町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000288.html,36.818291,138.190162
長野県,小谷,第15回,H11.8,北安曇郡小谷村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000289.html,36.845261,137.90044
長野県,さかきた,第16回,H12.8,東筑摩郡筑北村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000290.html,36.426378,138.012124
長野県,ぽかぽかランド美麻,第16回,H12.8,大町市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000291.html,36.605338,137.895563
長野県,オアシスおぶせ,第18回,H14.8,上高井郡小布施町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000292.html,36.689123,138.294865
長野県,雷電くるみの里,第19回,H15.8,東御市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000293.html,36.355715,138.373897
長野県,花の駅　千曲川,第21回,H17.8,飯山市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000294.html,36.881511,138.387761
長野県,あおき,第21回,H17.8,小県郡青木村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000295.html,36.372865,138.140884
長野県,おがわ,第24回,H19.8,上水内郡小川村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000296.html,36.6133,137.990556
長野県,美ヶ原高原,第24回,H19.8,上田市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000297.html,36.230635,138.140325
長野県,今井　恵みの里,第32回,H21.7,松本市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000298.html,36.148281,137.902754
長野県,FARMUS 木島平,第43回,H27.4,下高井郡木島平村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000299.html,36.852148,138.388223
長野県,ヘルシーテラス佐久南,第46回,Ｈ28.10,佐久市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000300.html,36.236692,138.440822
長野県,女神の里たてしな,第48回,Ｈ29.9,北佐久郡立科町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000301.html,36.276288,138.331675
長野県,いくさかの郷,第49回,H30.4,東筑摩郡生坂村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000336.html,36.424169,137.931389
長野県,野沢温泉,第51回,R1.6,下高井郡野沢温泉村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000340.html,,
長野県,ビーナスライン蓼科湖,第52回,R2.3,茅野市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000352.html,,
長野県,和田宿ステーション,第58回,R5.2,小県郡長和町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000358.html,,
長野県,日義木曽駒高原,第1回,H5.4,木曽郡木曽町,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano01.html,35.86647,137.740033
長野県,大桑,第1回,H5.4,木曽郡大桑村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano02.html,35.682094,137.653467
長野県,奈良井木曽の大橋,第1回,H5.4,塩尻市,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano03.html,35.965946,137.814405
長野県,信州平谷,第6回,H6.8,下伊那郡平谷村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano04.html,35.324356,137.631746
長野県,信濃路下條,第9回,H7.8,下伊那郡下條村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano05.html,35.417125,137.794249
長野県,南アルプスむら長谷,第12回,H9.4,伊那市,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano06.html,35.809814,138.083709
長野県,木曽ならかわ,第15回,H11.8,塩尻市,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano07.html,35.986202,137.841959
長野県,三岳,第15回,H11.8,木曽郡木曽町,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano08.html,35.822559,137.648074
長野県,信州新野千石平,第16回,H12.8,下伊那郡阿南町,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano09.html,35.257481,137.745387
長野県,花の里いいじま,第18回,H14.8,上伊那郡飯島町,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano10.html,35.662005,137.910046
長野県,遠山郷,第21回,H17.8,飯田市,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano11.html,35.321346,137.930944
長野県,木曽福島,第34回,H22.8,木曽郡木曽町,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano12.html,35.817661,137.682277
長野県,木曽川源流の里　きそむら,第34回,H22.8,木曽郡木祖村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano13.html,35.930724,137.785829
長野県,田切の里,第45回,Ｈ28.4,上伊那郡飯島町,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano14.html,35.691023,137.939944
長野県,南信州とよおかマルシェ,第48回,Ｈ29.9,下伊那郡豊丘村,https://www.cbr.mlit.go.jp/michinoeki/nagano/nagano15.html,35.544442,137.891347
